SIZE,DURATION,MODE,TIME,MIN,MAX,N
30,5010,CPU,0.2579461097717285,0.2559990882873535,0.2599906921386719,10
30,5510,CPU,0.282500171661377,0.28099989891052246,0.28500938415527344,10
30,6010,CPU,0.3082029581069946,0.30699992179870605,0.3100001811981201,10
30,6510,CPU,0.33369996547698977,0.33201074600219727,0.3359866142272949,10
30,7010,CPU,0.3581998825073242,0.35699939727783203,0.36099982261657715,10
30,7510,CPU,0.3838000535964966,0.3820009231567383,0.3879878520965576,10
30,8010,CPU,0.40850019454956055,0.40600061416625977,0.4119873046875,10
30,8510,CPU,0.43260061740875244,0.4309978485107422,0.43898487091064453,10
30,9010,CPU,0.4579999685287476,0.45400238037109375,0.4609975814819336,10
30,9510,CPU,0.482401180267334,0.4809868335723877,0.4840128421783447,10
80,10,CPU,0.010383939743041993,0.009999752044677734,0.01101231575012207,10
80,510,CPU,0.18969991207122802,0.18799757957458496,0.1920008659362793,10
80,1010,CPU,0.3754055738449097,0.36500096321105957,0.3950481414794922,10
80,1510,CPU,0.5524029970169068,0.5429999828338623,0.5840013027191162,10
80,2010,CPU,0.7466899633407593,0.7260007858276367,0.7650008201599121,10
80,2510,CPU,0.9129319667816163,0.8949971199035645,0.9649550914764404,10
80,3010,CPU,1.1315452814102174,1.0979974269866943,1.185086965560913,10
80,3510,CPU,1.269099974632263,1.2569990158081055,1.2840018272399902,10
80,4010,CPU,1.454457426071167,1.4359989166259766,1.4755616188049316,10
80,4510,CPU,1.6773874282836914,1.6390016078948975,1.7279958724975586,10
80,5010,CPU,1.84753737449646,1.8179986476898193,1.901998519897461,10
80,5510,CPU,2.0392049074172975,2.0169999599456787,2.063133716583252,10
40,10,CPU,0.007300066947937012,0.006999492645263672,0.00799870491027832,10
40,210,CPU,0.025414299964904786,0.024997472763061523,0.026012897491455078,10
40,410,CPU,0.04449973106384277,0.04297685623168945,0.04599952697753906,10
40,610,CPU,0.06269865036010742,0.0619814395904541,0.0650029182434082,10
40,810,CPU,0.08029966354370117,0.07899641990661621,0.08199930191040039,10
40,1010,CPU,0.09949979782104493,0.09799861907958984,0.10100317001342773,10
40,1210,CPU,0.11683080196380616,0.11399960517883301,0.1189889907836914,10
40,1410,CPU,0.13490087985992433,0.13299965858459473,0.13699960708618164,10
40,1610,CPU,0.15160024166107178,0.15000009536743164,0.15400266647338867,10
40,1810,CPU,0.16909985542297362,0.16699862480163574,0.17100191116333008,10
40,2010,CPU,0.18739988803863525,0.18500089645385742,0.1900010108947754,10
40,2210,CPU,0.2048999547958374,0.20300006866455078,0.20799994468688965,10
40,2410,CPU,0.2227001667022705,0.22099900245666504,0.225999116897583,10
40,2610,CPU,0.24130003452301024,0.2389984130859375,0.24300169944763184,10
40,2810,CPU,0.2595998764038086,0.2570009231567383,0.2610030174255371,10
40,3010,CPU,0.27640011310577395,0.2749969959259033,0.2780008316040039,10
40,3210,CPU,0.29529995918273927,0.29399967193603516,0.2980003356933594,10
40,3410,CPU,0.3140998363494873,0.31099867820739746,0.31999826431274414,10
40,3610,CPU,0.3309000492095947,0.3280000686645508,0.3340003490447998,10
40,3810,CPU,0.3499001502990723,0.347001314163208,0.35300111770629883,10
40,4010,CPU,0.36710004806518554,0.3640017509460449,0.3710000514984131,10
40,4210,CPU,0.3853001594543457,0.38300013542175293,0.3900012969970703,10
40,4410,CPU,0.4020998954772949,0.40000176429748535,0.4049992561340332,10
40,4610,CPU,0.4218001127243042,0.417999267578125,0.42600035667419434,10
40,4810,CPU,0.43825206756591795,0.43599987030029297,0.4419994354248047,10
40,5010,CPU,0.4583000421524048,0.45399999618530273,0.4640004634857178,10
40,5210,CPU,0.476900053024292,0.47300028800964355,0.4819979667663574,10
40,5410,CPU,0.49419987201690674,0.48999810218811035,0.497999906539917,10
40,5610,CPU,0.5136485576629639,0.5090012550354004,0.5230007171630859,10
40,5810,CPU,0.5302001237869263,0.5260012149810791,0.5360002517700195,10
40,6010,CPU,0.5465998649597168,0.543999433517456,0.5519998073577881,10
40,6210,CPU,0.5661024570465087,0.5610008239746094,0.5730035305023193,10
40,6410,CPU,0.5827025890350341,0.5790262222290039,0.5900001525878906,10
40,6610,CPU,0.6018999576568603,0.5979979038238525,0.6090028285980225,10
40,6810,CPU,0.618201208114624,0.6140003204345703,0.6240041255950928,10
40,7010,CPU,0.638251543045044,0.6339993476867676,0.6510000228881836,10
40,7210,CPU,0.6548078536987305,0.6510772705078125,0.658001184463501,10
40,7410,CPU,0.6729998588562012,0.6689980030059814,0.6799988746643066,10
40,7610,CPU,0.6935864210128784,0.6889989376068115,0.6999998092651367,10
40,7810,CPU,0.7178000211715698,0.7109997272491455,0.7230017185211182,10
40,8010,CPU,0.7276996374130249,0.7249996662139893,0.7379984855651855,10
40,8210,CPU,0.7462002754211425,0.7410016059875488,0.7560012340545654,10
40,8410,CPU,0.7621446371078491,0.7589981555938721,0.767998456954956,10
40,8610,CPU,0.7809016704559326,0.778998613357544,0.7889988422393799,10
40,8810,CPU,0.8003011465072631,0.7960002422332764,0.8060133457183838,10
40,9010,CPU,0.8168980836868286,0.8140017986297607,0.8219997882843018,10
40,9210,CPU,0.8392000675201416,0.8320002555847168,0.8549995422363281,10
40,9410,CPU,0.8594007015228271,0.8520069122314453,0.871999979019165,10
40,9610,CPU,0.8759999752044678,0.8699967861175537,0.8860001564025879,10
40,9810,CPU,0.8909001350402832,0.8879988193511963,0.8970026969909668,10
50,10,CPU,0.007900261878967285,0.007003068923950195,0.009000539779663086,10
50,210,CPU,0.03669970035552979,0.035997867584228516,0.03799891471862793,10
50,410,CPU,0.06560072898864747,0.06499934196472168,0.06600189208984375,10
50,610,CPU,0.09389963150024414,0.09299850463867188,0.09600329399108887,10
50,810,CPU,0.12279999256134033,0.12199807167053223,0.1269986629486084,10
50,1010,CPU,0.15039997100830077,0.14799976348876953,0.15200138092041016,10
50,1210,CPU,0.17819983959198,0.17600107192993164,0.17999863624572754,10
50,1410,CPU,0.2064000129699707,0.20499801635742188,0.20799994468688965,10
50,1610,CPU,0.23440079689025878,0.23299813270568848,0.23700189590454102,10
50,1810,CPU,0.2637001037597656,0.2609999179840088,0.2669992446899414,10
50,2010,CPU,0.2909000158309937,0.2889995574951172,0.29399991035461426,10
50,2210,CPU,0.3191998481750488,0.3170006275177002,0.32199978828430176,10
